Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat40,1.1283816802447748,0.94,-0.08397644391853121,1.1283816802447748,0.94,-0.08397644056726182,1.1283816802447748,0.93,-0.08397645041660515,1.1283816802447748,0.94,-0.08397644048567719,1.1283816802447748,0.94,-0.08397644417636425
Pat41,5.040724369953653,0.93,0.5206499496250689,5.040724369953653,0.95,0.5206499488343367,5.040724369953653,0.95,0.5206499552723481,5.040724369953653,0.95,0.5206499481741255,5.040724369953653,0.95,0.5206499512043397
Pat42,4.8506445124648145,0.97,0.6897274677821795,4.8506445124648145,0.97,0.6897274685927736,4.8506445124648145,0.96,0.6897274635886556,4.8506445124648145,0.96,0.6897274621312314,4.8506445124648145,0.97,0.6897274631396322
Pat44,4.98826389048524,0.95,0.5544978933816377,4.98826389048524,0.95,0.5544978936786432,4.98826389048524,0.95,0.5544978934310599,4.98826389048524,0.95,0.5544978835337451,4.98826389048524,0.95,0.5544978985881656
Pat46,5.3615305228493675,0.96,0.7889717488402735,5.3615305228493675,0.97,0.7889717477694298,5.3615305228493675,0.96,0.7889717424211888,5.3615305228493675,0.96,0.7889717491531936,5.3615305228493675,0.96,0.7889717490995684
Pat47,4.757227610061955,0.95,0.46486384110280454,4.757227610061955,0.95,0.46486384307609147,4.757227610061955,0.95,0.46486384641544704,4.757227610061955,0.95,0.46486383485385524,4.757227610061955,0.95,0.46486384115591345
Pat48,5.207781246105791,0.93,0.021210073546951865,5.207781246105791,0.93,0.02121006999151958,5.207781246105791,0.93,0.02121007793368218,5.207781246105791,0.93,0.02121007392004038,5.207781246105791,0.93,0.021210078400123115
Pat49,4.93510995043583,0.95,0.5029404148625518,4.93510995043583,0.95,0.502940410302582,4.93510995043583,0.94,0.5029404133250418,4.93510995043583,0.94,0.5029404195738586,4.93510995043583,0.95,0.5029404139970525
Pat50,5.126125016868936,0.95,0.4748249029877798,5.126125016868936,0.95,0.4748249067001739,5.126125016868936,0.95,0.4748248985498031,5.126125016868936,0.95,0.4748249006287244,5.126125016868936,0.95,0.4748249010336752
Pat51,5.349144278075563,0.96,0.8077119488449618,5.349144278075563,0.97,0.80771195055789,5.349144278075563,0.97,0.8077119491849464,5.349144278075563,0.97,0.8077119509227775,5.349144278075563,0.97,0.8077119496473352
Pat52,5.27860373605542,0.95,0.5701972156936972,5.27860373605542,0.95,0.5701972135940614,5.27860373605542,0.95,0.5701972226772121,5.27860373605542,0.95,0.5701972154976749,5.27860373605542,0.95,0.5701972146415781
Pat54,5.151090231617164,0.95,0.6654219931472536,5.151090231617164,0.96,0.665421995562753,5.151090231617164,0.95,0.6654219946592149,5.151090231617164,0.95,0.665421994861939,5.151090231617164,0.96,0.6654219948634754
Pat57,5.260551914982585,0.95,0.6573702184362484,5.260551914982585,0.96,0.657370214524731,5.260551914982585,0.95,0.6573702189984063,5.260551914982585,0.95,0.657370217754717,5.260551914982585,0.96,0.6573702198075182
Pat58,4.909734768388814,0.95,0.6410321411674095,4.909734768388814,0.96,0.6410321400594647,4.909734768388814,0.95,0.6410321357678451,4.909734768388814,0.96,0.6410321435535478,4.909734768388814,0.96,0.6410321410594305
Pat62,5.242169723791317,0.95,0.6762371612971037,5.242169723791317,0.95,0.6762371616431468,5.242169723791317,0.95,0.6762371622609836,5.242169723791317,0.95,0.6762371598822221,5.242169723791317,0.95,0.6762371635119645
Pat68,5.160927090007222,0.94,0.6590013743886342,5.160927090007222,0.94,0.6590013714908483,5.160927090007222,0.95,0.6590013719988919,5.160927090007222,0.94,0.6590013730473945,5.160927090007222,0.94,0.6590013746361216
Pat76,4.892990973074373,0.94,0.6006830402144748,4.892990973074373,0.95,0.6006830403816666,4.892990973074373,0.95,0.6006830402924777,4.892990973074373,0.95,0.6006830432741109,4.892990973074373,0.95,0.6006830447889243
