Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat62,0.6762371612971037,5.242169723791317,0.95,0.6762371616431468,5.242169723791317,0.95,0.6762371622609836,5.242169723791317,0.95,0.6762371598822221,5.242169723791317,0.95,0.6762371635119645,5.242169723791317,0.95
Pat68,0.6590013743886342,5.160927090007222,0.94,0.6590013714908483,5.160927090007222,0.94,0.6590013719988919,5.160927090007222,0.95,0.6590013730473945,5.160927090007222,0.94,0.6590013746361216,5.160927090007222,0.94
Pat76,0.6006830402144748,4.892990973074373,0.94,0.6006830403816666,4.892990973074373,0.95,0.6006830402924777,4.892990973074373,0.95,0.6006830432741109,4.892990973074373,0.95,0.6006830447889243,4.892990973074373,0.95
Pat77,0.473874375963969,5.202250349436046,0.94,0.47387437973120444,5.202250349436046,0.95,0.4738743692151453,5.202250349436046,0.94,0.47387437459764803,5.202250349436046,0.94,0.473874378136998,5.202250349436046,0.95
Pat79,0.6029600025659123,5.071645293338671,0.96,0.602960003789999,5.071645293338671,0.97,0.6029600060767734,5.071645293338671,0.96,0.6029600015526518,5.071645293338671,0.97,0.6029600042541612,5.071645293338671,0.97
Pat80,0.5523549288175404,4.892598608578025,0.95,0.5523549291407294,4.892598608578025,0.95,0.552354928587378,4.892598608578025,0.95,0.5523549290214872,4.892598608578025,0.95,0.5523549306129667,4.892598608578025,0.94
Pat81,0.5105798536223893,5.08848052095192,0.95,0.5105798506393385,5.08848052095192,0.96,0.510579861791427,5.08848052095192,0.96,0.5105798514938433,5.08848052095192,0.96,0.5105798565211657,5.08848052095192,0.96
Pat83,0.5115665908738656,4.985610768326833,0.94,0.5115665909189646,4.985610768326833,0.95,0.5115665897918481,4.985610768326833,0.95,0.5115665813684683,4.985610768326833,0.95,0.5115665898124526,4.985610768326833,0.95
Pat86,0.6650139339997089,5.151767453154087,0.96,0.665013937527453,5.151767453154087,0.96,0.6650139366024677,5.151767453154087,0.96,0.6650139335278654,5.151767453154087,0.96,0.665013934874301,5.151767453154087,0.96
Pat87,0.5237669372301458,4.9455053722964575,0.94,0.5237669393247206,4.9455053722964575,0.95,0.5237669328812395,4.9455053722964575,0.94,0.5237669424927094,4.9455053722964575,0.94,0.5237669378254546,4.9455053722964575,0.94
Pat88,0.558242700303474,5.124410370642838,0.96,0.5582426984317276,5.124410370642838,0.97,0.5582427102849111,5.124410370642838,0.96,0.5582426958034593,5.124410370642838,0.97,0.5582427042417358,5.124410370642838,0.96
Pat90,0.7870814343370027,5.317948021121252,0.97,0.7870814350165998,5.317948021121252,0.96,0.787081439458936,5.317948021121252,0.96,0.7870814327395865,5.317948021121252,0.96,0.7870814331095539,5.317948021121252,0.96
Pat91,0.6706703824062812,5.115921901842699,0.95,0.6706703817995605,5.115921901842699,0.96,0.6706703793999204,5.115921901842699,0.96,0.6706703801679827,5.115921901842699,0.96,0.670670379403547,5.115921901842699,0.95
Pat92,0.5916190096854855,5.158218257690201,0.94,0.5916190121049222,5.158218257690201,0.94,0.5916190104135031,5.158218257690201,0.95,0.591619004104601,5.158218257690201,0.94,0.591619007140507,5.158218257690201,0.95
Pat93,0.6243319198581287,5.041124090433193,0.95,0.6243319205968549,5.041124090433193,0.95,0.6243319198887122,5.041124090433193,0.95,0.624331920514077,5.041124090433193,0.95,0.6243319187177778,5.041124090433193,0.94
Pat94,0.7325990572661338,5.068616139033612,0.96,0.732599055548583,5.068616139033612,0.96,0.7325990497300326,5.068616139033612,0.95,0.7325990531729655,5.068616139033612,0.95,0.7325990551099736,5.068616139033612,0.95
Pat95,0.5584672858579345,4.981278384931352,0.95,0.558467285823694,4.981278384931352,0.95,0.5584672859295693,4.981278384931352,0.95,0.5584672909922622,4.981278384931352,0.96,0.5584672869849293,4.981278384931352,0.95
Pat99,0.5185660680215012,5.473825790675421,0.95,0.5185660691905071,5.473825790675421,0.95,0.5185660640639204,5.473825790675421,0.94,0.5185660657524429,5.473825790675421,0.94,0.5185660661099368,5.473825790675421,0.94
Pat100,0.5144441565938921,5.228802100756548,0.97,0.5144441545882937,5.228802100756548,0.96,0.5144441546968852,5.228802100756548,0.96,0.5144441533965044,5.228802100756548,0.96,0.5144441581254686,5.228802100756548,0.96
Pat101,0.763865398264114,5.233282823922441,0.95,0.7638653996867181,5.233282823922441,0.95,0.7638653956655843,5.233282823922441,0.95,0.7638653986942976,5.233282823922441,0.95,0.7638653952445397,5.233282823922441,0.95
Pat102,0.8139669389776697,5.133804745498778,0.97,0.813966938603164,5.133804745498778,0.96,0.8139669352490845,5.133804745498778,0.96,0.8139669415466302,5.133804745498778,0.97,0.8139669374126332,5.133804745498778,0.96
Pat103,0.6296923688921444,5.073661486893766,0.97,0.6296923685183953,5.073661486893766,0.96,0.6296923647846694,5.073661486893766,0.96,0.6296923647731802,5.073661486893766,0.96,0.6296923718752953,5.073661486893766,0.96
Pat104,0.5329013254164482,5.241209473283581,0.95,0.5329013294933286,5.241209473283581,0.95,0.5329013222946022,5.241209473283581,0.95,0.532901328001745,5.241209473283581,0.95,0.5329013213940532,5.241209473283581,0.95
Pat105,0.6537777748549966,5.162783417932451,0.97,0.6537777761134674,5.162783417932451,0.97,0.653777776487394,5.162783417932451,0.97,0.6537777742404738,5.162783417932451,0.97,0.653777773133109,5.162783417932451,0.96
Pat107,0.6278915698117007,5.282725961804037,0.95,0.6278915721983249,5.282725961804037,0.95,0.627891571914076,5.282725961804037,0.95,0.6278915762102517,5.282725961804037,0.95,0.6278915675447146,5.282725961804037,0.95
Pat109,0.613076682793505,5.095390894830231,0.95,0.6130766822281137,5.095390894830231,0.96,0.6130766867928698,5.095390894830231,0.95,0.6130766786899472,5.095390894830231,0.95,0.6130766819909252,5.095390894830231,0.95
Pat112,0.443994660732788,5.265460246494454,0.95,0.44399465830680446,5.265460246494454,0.95,0.4439946508507108,5.265460246494454,0.95,0.44399465948002886,5.265460246494454,0.95,0.4439946635752382,5.265460246494454,0.95
Pat113,0.5441684311127414,5.342324243648838,0.94,0.5441684338620378,5.342324243648838,0.94,0.5441684355219265,5.342324243648838,0.94,0.5441684381663839,5.342324243648838,0.94,0.5441684276475545,5.342324243648838,0.94
Pat114,0.691368825795044,5.253044379984911,0.96,0.6913688245557007,5.253044379984911,0.96,0.6913688242460172,5.253044379984911,0.96,0.6913688276220935,5.253044379984911,0.96,0.691368828128684,5.253044379984911,0.95
Pat115,0.5842167180084055,5.283042028800281,0.94,0.5842167199935803,5.283042028800281,0.94,0.5842167189273335,5.283042028800281,0.93,0.5842167248151925,5.283042028800281,0.94,0.5842167157849733,5.283042028800281,0.93
Pat116,0.4874683309738055,5.142017728634277,0.96,0.48746833055836025,5.142017728634277,0.94,0.48746833439354126,5.142017728634277,0.94,0.48746834182788473,5.142017728634277,0.95,0.48746832992359046,5.142017728634277,0.94
Pat118,0.7133673575753682,5.020629436685416,0.94,0.7133673513859612,5.020629436685416,0.95,0.7133673586342938,5.020629436685416,0.94,0.7133673539162095,5.020629436685416,0.95,0.7133673569301735,5.020629436685416,0.95
Pat119,0.33699998048484814,5.445525874226053,0.95,0.33699998254807073,5.445525874226053,0.95,0.3369999817517462,5.445525874226053,0.95,0.33699998203929404,5.445525874226053,0.95,0.3369999809097113,5.445525874226053,0.94
Pat120,0.7205049833335092,5.191339646684951,0.96,0.7205049832183748,5.191339646684951,0.96,0.7205049771376277,5.191339646684951,0.96,0.7205049806273917,5.191339646684951,0.96,0.7205049833520212,5.191339646684951,0.96
Pat122,0.6818524672710644,5.4945344162213905,0.97,0.6818524726688164,5.4945344162213905,0.97,0.6818524672941448,5.4945344162213905,0.97,0.6818524684813567,5.4945344162213905,0.97,0.6818524659200426,5.4945344162213905,0.97
Pat124,0.4944770804630331,4.85977728568886,0.93,0.4944770818475634,4.85977728568886,0.94,0.4944770777883754,4.85977728568886,0.94,0.4944770748244138,4.85977728568886,0.94,0.49447707903632854,4.85977728568886,0.95
Pat125,0.8220799540860841,4.998151107719699,0.95,0.8220799519638535,4.998151107719699,0.96,0.8220799519692946,4.998151107719699,0.96,0.8220799526043343,4.998151107719699,0.96,0.8220799546000551,4.998151107719699,0.95
Pat126,0.541994928709411,5.4114210484974485,0.95,0.5419949289875566,5.4114210484974485,0.95,0.5419949249483988,5.4114210484974485,0.95,0.5419949308324172,5.4114210484974485,0.95,0.5419949285639,5.4114210484974485,0.95
Pat127,-0.09392507506683166,1.7296252502257954,0.95,-0.09392507435587137,1.7296252502257954,0.95,-0.09392507582786716,1.7296252502257954,0.96,-0.09392507740910255,1.7296252502257954,0.96,-0.09392507484100672,1.7296252502257954,0.95
Pat128,0.7176985303783459,5.000979200946018,0.93,0.717698531730894,5.000979200946018,0.94,0.7176985361740472,5.000979200946018,0.94,0.7176985339428656,5.000979200946018,0.94,0.7176985308290114,5.000979200946018,0.94
Pat129,0.5999957994099033,5.129771061746306,0.95,0.5999958037192014,5.129771061746306,0.94,0.5999958001323084,5.129771061746306,0.94,0.5999957977541968,5.129771061746306,0.94,0.5999957946700691,5.129771061746306,0.94
Pat130,0.31007099421215073,5.29852677620281,0.94,0.3100709929881108,5.29852677620281,0.94,0.3100710016637523,5.29852677620281,0.94,0.31007099997410775,5.29852677620281,0.94,0.31007099260590565,5.29852677620281,0.94
Pat132,0.5948271387853291,4.927886333076537,0.94,0.5948271394394864,4.927886333076537,0.95,0.5948271409340001,4.927886333076537,0.95,0.5948271340035248,4.927886333076537,0.95,0.59482713625906,4.927886333076537,0.94
Pat133,0.5475528740333877,4.930563562160353,0.95,0.5475528707033155,4.930563562160353,0.96,0.5475528758537181,4.930563562160353,0.96,0.5475528701566188,4.930563562160353,0.96,0.5475528744842278,4.930563562160353,0.96
Pat134,0.6411569205771033,5.0274337784366026,0.95,0.6411569224438295,5.0274337784366026,0.96,0.6411569231716541,5.0274337784366026,0.96,0.6411569128382526,5.0274337784366026,0.96,0.6411569194238326,5.0274337784366026,0.96
Pat135,0.455860999718523,5.116922438356619,0.95,0.45586099978650074,5.116922438356619,0.95,0.4558609978863644,5.116922438356619,0.95,0.455860996764905,5.116922438356619,0.95,0.45586100042496525,5.116922438356619,0.95
Pat136,0.6974196875259319,5.014366063930037,0.95,0.6974196865140944,5.014366063930037,0.96,0.6974196864052273,5.014366063930037,0.96,0.6974196895629955,5.014366063930037,0.96,0.6974196870969318,5.014366063930037,0.96
Pat137,0.39023658531589694,5.0184200171306115,0.95,0.3902365804476363,5.0184200171306115,0.96,0.39023657719086,5.0184200171306115,0.95,0.3902365767872997,5.0184200171306115,0.95,0.39023658644555237,5.0184200171306115,0.95
Pat138,0.748512854521042,4.943826312792914,0.94,0.7485128544622066,4.943826312792914,0.96,0.7485128575565166,4.943826312792914,0.95,0.7485128508054676,4.943826312792914,0.96,0.7485128566307356,4.943826312792914,0.95
Pat139,0.684387227138239,5.038565453796785,0.95,0.6843872260794195,5.038565453796785,0.95,0.6843872241744535,5.038565453796785,0.94,0.6843872266601355,5.038565453796785,0.95,0.6843872246333074,5.038565453796785,0.94
Pat140,0.5959295209491282,5.2284915308037405,0.94,0.595929522097446,5.2284915308037405,0.93,0.5959295109504794,5.2284915308037405,0.94,0.5959295235960862,5.2284915308037405,0.94,0.5959295204611652,5.2284915308037405,0.94
Pat141,0.6062134871116321,5.0955043808124785,0.94,0.6062134869645381,5.0955043808124785,0.94,0.6062134801412934,5.0955043808124785,0.93,0.6062135007497174,5.0955043808124785,0.93,0.6062134889411146,5.0955043808124785,0.94
Pat143,0.5710751403815466,5.230214554423677,0.93,0.5710751401972927,5.230214554423677,0.94,0.5710751450983196,5.230214554423677,0.93,0.5710751410587455,5.230214554423677,0.93,0.5710751399096159,5.230214554423677,0.93
Pat144,0.7897659742434405,5.353465463349986,0.94,0.7897659745093861,5.353465463349986,0.95,0.7897659706705588,5.353465463349986,0.94,0.7897659726547399,5.353465463349986,0.95,0.7897659736475168,5.353465463349986,0.94
Pat145,0.5920961535689546,5.232600062394606,0.94,0.5920961560449021,5.232600062394606,0.95,0.5920961570239266,5.232600062394606,0.94,0.5920961519687964,5.232600062394606,0.95,0.5920961454596294,5.232600062394606,0.94
Pat146,0.6474369711335036,5.03342290335457,0.95,0.6474369680516788,5.03342290335457,0.96,0.6474369661017161,5.03342290335457,0.96,0.6474369743096169,5.03342290335457,0.96,0.6474369701812676,5.03342290335457,0.96
Pat147,0.6293554401858008,5.100552854685329,0.93,0.629355439035106,5.100552854685329,0.95,0.6293554364867532,5.100552854685329,0.94,0.629355438610915,5.100552854685329,0.95,0.6293554423338806,5.100552854685329,0.94
Pat174,0.6773124896395535,5.133782129801997,0.94,0.6773124940392404,5.133782129801997,0.95,0.677312492026382,5.133782129801997,0.94,0.6773124856103212,5.133782129801997,0.94,0.6773124917189249,5.133782129801997,0.94
